2025-06-07 16:55:17,526 | DEBUG | python_multipart.multipart | Calling on_header_value with data[126:136]
2025-06-07 16:55:17,527 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,527 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:55:17,528 | DEBUG | python_multipart.multipart | Calling on_part_data with data[0:15420]
2025-06-07 16:55:17,528 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:55:17,529 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:55:17,529 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15465:15484]
2025-06-07 16:55:17,529 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15486:15532]
2025-06-07 16:55:17,530 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,530 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15534:15546]
2025-06-07 16:55:17,531 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15548:15558]
2025-06-07 16:55:17,531 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,531 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:55:17,532 | DEBUG | python_multipart.multipart | Calling on_part_data with data[15562:30987]
2025-06-07 16:55:17,532 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:55:17,532 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:55:17,533 | DEBUG | python_multipart.multipart | Calling on_header_field with data[31032:31051]
2025-06-07 16:55:17,533 | DEBUG | python_multipart.multipart | Calling on_header_value with data[31053:31099]
2025-06-07 16:55:17,533 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,534 | DEBUG | python_multipart.multipart | Calling on_header_field with data[31101:31113]
2025-06-07 16:55:17,534 | DEBUG | python_multipart.multipart | Calling on_header_value with data[31115:31125]
2025-06-07 16:55:17,535 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,535 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:55:17,535 | DEBUG | python_multipart.multipart | Calling on_part_data with data[31129:46598]
2025-06-07 16:55:17,536 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:55:17,536 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:55:17,537 | DEBUG | python_multipart.multipart | Calling on_header_field with data[46643:46662]
2025-06-07 16:55:17,537 | DEBUG | python_multipart.multipart | Calling on_header_value with data[46664:46710]
2025-06-07 16:55:17,537 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,538 | DEBUG | python_multipart.multipart | Calling on_header_field with data[46712:46724]
2025-06-07 16:55:17,538 | DEBUG | python_multipart.multipart | Calling on_header_value with data[46726:46736]
2025-06-07 16:55:17,539 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,539 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:55:17,539 | DEBUG | python_multipart.multipart | Calling on_part_data with data[46740:62178]
2025-06-07 16:55:17,540 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:55:17,540 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:55:17,540 | DEBUG | python_multipart.multipart | Calling on_header_field with data[62223:62242]
2025-06-07 16:55:17,541 | DEBUG | python_multipart.multipart | Calling on_header_value with data[62244:62290]
2025-06-07 16:55:17,541 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:55:17,542 | DEBUG | python_multipart.multipart | Calling on_header_field with data[62292:62304]
2025-06-07 16:55:17,542 | DEBUG | python_multipart.multipart | Calling on_header_value with data[62306:62316]
2025-06-07 16:55:17,542 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
